Japanese,English
jinrui,humanity
hito,person
otoko,male
otokonohito,man
otokonoko,boy
onna,female
onnanohito,woman
onnanoko,girl
akachan,baby
wakamono,"youth, young person"
watashi,"I, myself"
watakushi ,"I, myself (formal)"
boku,"I, myself"
ore,"I, myself (informal)"
atashi,"I, myself"
shoujo,girl
shounen,boy
isha,doctor
kangoshi,nurse
kangofu,female nurse
"shikai, ha-isha",dentist
seijika,politician
bengoshi,lawyer
shouboushi,firefighter
keisatsukan,police officer
heishi,soldier
kenchikuka,architect
sensei,teacher
kyoushi,academic teacher
kashu,singer
enjinia,engineer
ashi,"foot, leg"
kakato,heel
sune,shin
hiza,knee
momo,thigh
atama,head
kao,face
kuchi,mouth
kuchibiru,lips
ha,tooth
hana,nose
me,eye
hige,"moustache, beard"
kami,hair
mimi,ear
onaka,stomach
ude,arm
hiji,elbow
kata,shoulder
tsume,nail
te,hand
tekubi,wrist
te-no-hira,palm of hand
yubi,"finger, toe"
shiri,buttocks
o-naka,abdomen
kanzō,liver
kimo,liver
kin'niku,muscle
kubi,neck
kokoro,heart (feelings)
koshi,"waist, hip"
shinzō,heart
senaka,back
chi,blood
niku,meat
hada,skin
hifu,skin
hone,bone
mune,chest
kaze,cold [illness]
geri,diarrhea
byōki,illness
kazoku,family
ryoushin,parents
kodomo,"children, child"
otou-san,father (chichi)
okaa-san,mother (haha)
tsuma,wife
otto,husband
onī-san,older brother (ani)
onē-san,older sister (ane)
otōto,younger brother
imōto,younger sister
kyōdai,"brothers, siblings"
shimai,sisters
ojii-san,grandfather (sofu)
obaa-san,grandmother (sobo)
mago,grandchild
oji-san,uncle (oji)
oba-san,aunt (oba)
itoko,cousin
mei,niece
oi,nephew
ikimono,living creatures
bakemono,monster
ningen,human
